round_name,heat_id,heat_name,competition_competitor_id,bib_number,starting_position,final_rank,final_result,final_points,result_status,qualification_code,record_flag,num_laps,json_source
Heats,71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,Heat 1,f75b0c0f-107d-4474-bb47-45b2926ff298,2,1,1.0,40.745,,,Q,,5,seoul_man
Heats,71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,Heat 1,2560bda6-2a9e-4b0c-8adf-a91b273d71b2,42,2,2.0,40.897,,,Q,,5,seoul_man
Heats,71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,Heat 1,694b1f62-3ad8-4d0d-bcde-31fe41f01f8c,40,3,3.0,41.174,,,q,,5,seoul_man
Heats,71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,Heat 1,17cf500c-d597-4fd2-ac27-62e8aabe6d11,32,4,4.0,41.338,,,,,5,seoul_man
Heats,71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,Heat 1,4db2541f-8c53-49cb-af7d-ff587761fd00,58,5,5.0,42.807,,,,,5,seoul_man
Heats,d56e7ac6-c963-4672-9d1f-a2058f23fd9a,Heat 2,a15aaec4-779d-4ca4-916a-6589b7678c2f,46,2,1.0,40.883,,,Q,,5,seoul_man
Heats,d56e7ac6-c963-4672-9d1f-a2058f23fd9a,Heat 2,013f54e5-d12a-4970-84bb-e2e40a383950,19,3,2.0,40.943,,,Q,,5,seoul_man
Heats,d56e7ac6-c963-4672-9d1f-a2058f23fd9a,Heat 2,89ebc323-0aef-4373-bc5c-6694f0b76935,17,1,3.0,41.173,,,q,,5,seoul_man
Heats,d56e7ac6-c963-4672-9d1f-a2058f23fd9a,Heat 2,7b9d12ae-44ce-4fb8-8e3e-b2bb8ee3c63c,60,5,4.0,41.919,,,,,5,seoul_man
Heats,d56e7ac6-c963-4672-9d1f-a2058f23fd9a,Heat 2,6966756c-063a-4dad-8481-de3a5060fba8,145,4,5.0,42.581,,,,,5,seoul_man
Heats,f9c03e3c-fa0d-481d-9714-652c34821ddc,Heat 3,af470988-b4c5-4d6a-b176-82176f4743e7,1,2,1.0,41.170,,,Q,,5,seoul_man
Heats,f9c03e3c-fa0d-481d-9714-652c34821ddc,Heat 3,f7bdc857-3997-4abc-bfc9-80ee330f8563,3,1,2.0,41.250,,,Q,,5,seoul_man
Heats,f9c03e3c-fa0d-481d-9714-652c34821ddc,Heat 3,843abd46-cc28-4728-be4c-a887965aa21d,126,3,3.0,41.506,,,,,5,seoul_man
Heats,f9c03e3c-fa0d-481d-9714-652c34821ddc,Heat 3,ec754c8a-dada-4421-bb64-e64926e6b4c4,26,5,4.0,42.244,,,,,5,seoul_man
Heats,f9c03e3c-fa0d-481d-9714-652c34821ddc,Heat 3,d0aa76b3-ea67-499e-84fb-50b0420310e6,138,4,5.0,42.394,,,,,5,seoul_man
Heats,d03ad47e-c5ad-41b6-93a1-06a28fd3983b,Heat 4,c4b9df64-f59a-4f18-b837-0de23875f136,7,1,1.0,41.398,,,Q,,5,seoul_man
Heats,d03ad47e-c5ad-41b6-93a1-06a28fd3983b,Heat 4,46283c04-b51a-47f3-ac99-fe66e7dd778d,129,3,2.0,41.545,,,Q,,5,seoul_man
Heats,d03ad47e-c5ad-41b6-93a1-06a28fd3983b,Heat 4,2dea1d2c-3ff7-49de-b8b5-a98466f53d69,22,2,3.0,41.570,,,,,5,seoul_man
Heats,d03ad47e-c5ad-41b6-93a1-06a28fd3983b,Heat 4,e37b1fad-a1c9-4a79-94fe-15626c82d058,49,5,4.0,41.710,,,,,5,seoul_man
Heats,d03ad47e-c5ad-41b6-93a1-06a28fd3983b,Heat 4,c7c8d6cd-9ad1-4028-8411-a2d2f121c8be,125,4,5.0,42.232,,,,,5,seoul_man
Heats,b5eeba18-c38c-438c-a270-742f37405284,Heat 5,29f872c9-cead-450c-9997-3b6d6dacc1e8,23,3,1.0,41.474,,,Q,,5,seoul_man
Heats,b5eeba18-c38c-438c-a270-742f37405284,Heat 5,5dc025c0-4553-4107-b42f-a7a6794f8495,8,2,2.0,41.596,,,Q,,5,seoul_man
Heats,b5eeba18-c38c-438c-a270-742f37405284,Heat 5,b04d2e6d-b92c-4548-ac22-e5930ca27da4,18,1,3.0,41.970,,,,,5,seoul_man
Heats,b5eeba18-c38c-438c-a270-742f37405284,Heat 5,01e4dcbf-164f-4a97-aef5-3587d81e1998,83,5,4.0,41.999,,,,,5,seoul_man
Heats,b5eeba18-c38c-438c-a270-742f37405284,Heat 5,1f32c0f8-b7d1-4442-a6a5-ab8763ab06d1,106,4,5.0,42.506,,,,,5,seoul_man
Heats,0e0b6e54-9153-42b7-93e9-e8db96a89a8b,Heat 6,21cc4579-3a1c-4a8a-bf39-5a7475bb319c,20,2,1.0,41.672,,,Q,,5,seoul_man
Heats,0e0b6e54-9153-42b7-93e9-e8db96a89a8b,Heat 6,50ac7787-2631-46d7-8d95-edc0c560a7ff,35,1,2.0,42.136,,,Q,,5,seoul_man
Heats,0e0b6e54-9153-42b7-93e9-e8db96a89a8b,Heat 6,41802b7a-0a0c-48f4-9fe8-3776c419dcc6,36,5,3.0,42.472,,,,,5,seoul_man
Heats,0e0b6e54-9153-42b7-93e9-e8db96a89a8b,Heat 6,5445c3b6-260c-4627-aff7-5c87accb1e3c,34,4,4.0,no time,,,,,3,seoul_man
Heats,0e0b6e54-9153-42b7-93e9-e8db96a89a8b,Heat 6,8d006479-00dc-4baa-82af-354a2f3f26b3,37,3,,PEN,,Penalty,,,0,seoul_man
Heats,a0125825-c262-4504-8192-949dadfb6e9e,Heat 7,1109e535-8491-4985-857e-610f26178f4c,48,2,1.0,40.969,,,Q,,5,seoul_man
Heats,a0125825-c262-4504-8192-949dadfb6e9e,Heat 7,af71dca0-c9fb-4f77-be3a-8ff047e99c39,75,3,2.0,41.312,,,Q,,5,seoul_man
Heats,a0125825-c262-4504-8192-949dadfb6e9e,Heat 7,29659c64-b0e6-4e52-8121-665fcca355d7,98,4,3.0,41.467,,,,,5,seoul_man
Heats,a0125825-c262-4504-8192-949dadfb6e9e,Heat 7,398f4d0a-6c05-40de-b3f1-8866b6ff5158,54,5,4.0,42.887,,,,,5,seoul_man
Heats,a0125825-c262-4504-8192-949dadfb6e9e,Heat 7,9cdf9c33-93b3-4bd7-a4d0-fb00ba6ebcd3,11,1,,PEN,,Penalty,,,0,seoul_man
Heats,beea6adf-c5f7-4c9a-b0d6-f318d787e162,Heat 8,ff9963a6-23ac-4c1d-ae21-1c5028264d69,13,1,1.0,40.808,,,Q,,5,seoul_man
Heats,beea6adf-c5f7-4c9a-b0d6-f318d787e162,Heat 8,59ae22e1-2772-412d-8714-8ac113571053,10,2,2.0,40.903,,,Q,,5,seoul_man
Heats,beea6adf-c5f7-4c9a-b0d6-f318d787e162,Heat 8,db9e00f8-3eb5-458a-b8d1-21582b6838a9,27,3,3.0,41.403,,,,,5,seoul_man
Heats,beea6adf-c5f7-4c9a-b0d6-f318d787e162,Heat 8,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,4,4.0,41.995,,,,,5,seoul_man
Heats,beea6adf-c5f7-4c9a-b0d6-f318d787e162,Heat 8,7241404a-ad95-48e4-828b-a639b7b2cf9f,97,5,5.0,42.632,,,,,5,seoul_man
Rep. Quarterfinals,f62ef0f7-d7f1-4ee5-8944-3bb40312d296,Heat 1,843abd46-cc28-4728-be4c-a887965aa21d,126,1,1.0,41.845,,,Q,,5,seoul_man
