round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,0ed93a45-a373-484c-a61b-061e55ce2e53,60,5,3,9.822,45.512,+0.193,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,1a4e97a0-fb9c-4cd5-95e8-69ffcc700069,108,1,3,7.720,7.720,+0.390,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,1a4e97a0-fb9c-4cd5-95e8-69ffcc700069,108,2,3,9.650,17.370,+0.500,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,1a4e97a0-fb9c-4cd5-95e8-69ffcc700069,108,3,3,9.130,26.500,+0.390,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,1a4e97a0-fb9c-4cd5-95e8-69ffcc700069,108,4,3,9.340,35.840,+0.320,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,1a4e97a0-fb9c-4cd5-95e8-69ffcc700069,108,5,4,9.730,45.570,+0.251,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,b73a6ef5-604a-4a64-80d5-f13e2d5d9626,110,1,5,8.050,8.050,+0.720,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,b73a6ef5-604a-4a64-80d5-f13e2d5d9626,110,2,5,9.730,17.780,+0.910,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,b73a6ef5-604a-4a64-80d5-f13e2d5d9626,110,3,5,9.330,27.110,+1.000,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,b73a6ef5-604a-4a64-80d5-f13e2d5d9626,110,4,5,9.590,36.700,+1.180,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,b73a6ef5-604a-4a64-80d5-f13e2d5d9626,110,5,5,9.913,46.613,+1.294,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,bce0f8e1-9172-4cd2-9396-25fca65dcff4,18,1,1,7.310,7.310,0.000,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,bce0f8e1-9172-4cd2-9396-25fca65dcff4,18,2,1,9.480,16.790,0.000,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,bce0f8e1-9172-4cd2-9396-25fca65dcff4,18,3,1,9.100,25.890,0.000,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,bce0f8e1-9172-4cd2-9396-25fca65dcff4,18,4,1,9.230,35.120,0.000,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,bce0f8e1-9172-4cd2-9396-25fca65dcff4,18,5,1,9.469,44.589,0.000,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,c9102b97-afc8-4faf-9150-06b16d73b3a5,25,1,2,7.530,7.530,+0.220,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,c9102b97-afc8-4faf-9150-06b16d73b3a5,25,2,2,9.390,16.920,+0.130,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,c9102b97-afc8-4faf-9150-06b16d73b3a5,25,3,2,9.130,26.050,+0.160,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,c9102b97-afc8-4faf-9150-06b16d73b3a5,25,4,2,9.160,35.210,+0.090,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,c9102b97-afc8-4faf-9150-06b16d73b3a5,25,5,2,9.446,44.656,+0.067,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,9ad68731-3b70-4e4d-958b-a87b096ba0f5,72,1,3,7.690,7.690,+0.380,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,9ad68731-3b70-4e4d-958b-a87b096ba0f5,72,2,3,9.500,17.190,+0.400,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,9ad68731-3b70-4e4d-958b-a87b096ba0f5,72,3,3,8.960,26.150,+0.260,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,9ad68731-3b70-4e4d-958b-a87b096ba0f5,72,4,3,9.190,35.340,+0.220,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,9ad68731-3b70-4e4d-958b-a87b096ba0f5,72,5,3,9.416,44.756,+0.167,seoul_woman
